"","B_1_1","B_1_2","B_1_3","B_2_1","B_2_2","B_2_3","B_3_1","B_3_2","B_3_3","B_4_1","B_4_2","B_4_3"
"lcl|NC_008562.1_cds_YP_851035.1_21.1",185.702266037857,175.033758967242,58.6332146345682,4070.04626123405,4305.10150302518,4459.77545288175,0,99.2417626085429,107.999459015722,3427.25143038826,4187.1241035644,3064.33384672106
"lcl|NC_008562.1_cds_YP_851036.1_22.1",0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851037.1_23.1",44.4150104795267,0,0,184.685426811467,365.365008813383,170.239823284351,0,0,0,215.005059399599,320.463356587763,0
"lcl|NC_008562.1_cds_YP_851038.1_24.1",0,26.1581816906764,17.5250567726938,360.624987777619,326.879731132269,299.176073207277,0,0,96.8408433240609,302.27648572416,200.240326133559,52.8408405303163
"lcl|NC_008562.1_cds_YP_851039.1_25.1",55.4369172570014,13.063023166167,81.6831270216221,1719.26855352378,1399.19210991857,1294.83698514648,50.1548448047141,0,128.962498972091,972.805446890324,1199.96598388145,1829.56541708407
"lcl|NC_008562.1_cds_YP_851042.1_28.1",68.3721979503018,21.4814158732524,0,1255.6743513818,894.791991281261,1277.57249201119,0,0,0,165.488742689388,822.198914881736,173.57415495413
"lcl|NC_008562.1_cds_YP_851043.1_29.1",57.2660541208111,35.984097655702,0,555.618762894735,685.206920081952,795.676737507948,0,0,66.6088034030977,1039.55491917827,2134.79565970562,72.6896841812981
"lcl|NC_008562.1_cds_YP_851044.1_30.1",200.261763227215,94.3784099756801,117.092958219922,5320.17881377017,5166.79974001884,4920.04002100958,140.918296694902,261.610681905952,155.289162963435,6516.73125797562,8803.36648803847,5733.59597651734
"lcl|NC_008562.1_cds_YP_851045.1_31.1",14748.3833822553,14942.8134404665,13547.0612334764,2116.67517216362,1779.91898195983,2906.89688496543,6858.27745815291,6734.7638583873,6656.98128840325,2131.17210097554,2448.54847578195,3876.84225364011
"lcl|NC_008562.1_cds_YP_851046.1_32.1",725.233671115701,544.323734359736,831.125817445005,167.536065750402,271.176756541362,19.3039799617076,510.325545887966,516.766035297342,2155.74634442454,0,0,409.139079534735
"lcl|NC_008562.1_cds_YP_851048.1_34.1",67.9603172397578,0,57.220366089157,3485.28843609271,5133.11825635188,3288.65393564513,184.455016586012,145.275592252265,316.191187238801,2960.8528059487,4740.02627434832,2070.34233017577
"lcl|NC_008562.1_cds_YP_851049.1_35.1",228.677283685131,15.965917203093,42.7863998684687,2430.02762034367,2242.16217120285,2166.91522813403,0,0,0,1721.97745771391,2322.15639473355,2193.13290381232
"lcl|NC_008562.1_cds_YP_851050.1_36.1",0,62.1830459488886,0,1680.25937287684,2257.16325620198,1872.82472260076,0,105.770825938052,0,1497.01987630203,1904.0395923577,1256.12875295752
"lcl|NC_008562.1_cds_YP_851051.1_37.1",0,7.17496684025638,9.61394814858305,94.9597133807948,119.547108146889,87.5322168304151,20.6609532748164,0,0,110.54916009615,164.772657030955,115.950346426848
"lcl|NC_008562.1_cds_YP_851052.1_38.1",0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851053.1_39.1",35.9280658019102,0,0,2016.83544119911,2364.40031181145,1532.02286829858,65.0096236799957,0,0,2174.01612609467,2765.10208316915,1915.39632775816
"lcl|NC_008562.1_cds_YP_851054.1_40.1",0,0,0,0,29.2937854288508,0,0,0,0,94.8112588324621,0,198.887052551607
"lcl|NC_008562.1_cds_YP_851055.1_41.1",0,0,0,0,0,0,0,0,51.25755574379,0,0,111.873967060279
"lcl|NC_008562.1_cds_YP_851056.1_42.1",0,0,0,0,0,0,0,0,0,0,83.2287245125684,0
"lcl|NC_008562.1_cds_YP_851057.1_43.1",0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851058.1_44.1",0,0,0,48.2614181173998,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851059.1_45.1",80.8381480542979,56.4400257816346,45.375385847771,1406.80496824382,1477.75019488215,1351.27859731953,0,38.4008731112674,0,956.567095481656,1123.32272128747,1140.11686176081
"lcl|NC_008562.1_cds_YP_851060.1_46.1",0,0,0,0,58.5875708577016,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851061.1_47.1",0,0,0,144.784254352199,78.1167611436021,250.236777281395,0,0,0,505.660047106465,1256.13723106932,0
